time,board,price,rate,quantity,volume,market,origin,tradeStatus,nemotecnico,fecha_dia
12:42,RTES,92.152,13.95,10000000000,9820950000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:45,RTES,92.152,13.95,5000000000,4910475000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:46,RTES,92.35,13.87,2300000000,2263372500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:52,RTES,92.283,13.897,10000000000,9834050000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:54,RTES,92.375,13.86,2300000000,2263947500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:56,RTES,92.029,14.0,5000000000,4904325000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
12:58,RTES,92.053,13.99,5000000000,4905525000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
13:00,RTES,92.029,14.0,10000000000,9808650000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT05220829,2026-03-11
09:14,RTES,96.554,13.269,10000000000,10015190000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
09:19,RTES,96.486,13.28,1500000000,1501258500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
09:19,RTES,96.541,13.271,10000000000,10013890000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
09:29,RTES,95.933,13.37,1500000000,1492963500,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
09:53,RTES,96.48,13.281,10000000000,10007790000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
09:53,RTES,96.492,13.279,10000000000,10008990000,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
10:34,RTES,96.554,13.269,1700000000,1702582300,"{'es': 'Secundario', 'en': 'Secondary'}","{'es': 'Registro', 'en': 'OTC (NegDeal)'}",matched,TFIT16281140,2026-03-11
